sample	class
TCGA-EY-A4KR-01	Tumor
TCGA-BG-A3PP-01	Tumor
TCGA-AX-A1C7-01	Tumor
TCGA-A5-A7WK-01	Tumor
TCGA-AX-A3FW-01	Tumor
TCGA-AJ-A8CV-01	Tumor
TCGA-AP-A5FX-01	Tumor
TCGA-JU-AAVI-01	Tumor
TCGA-EO-A3AZ-01	Tumor
TCGA-DF-A2KU-01	Tumor
TCGA-BS-A0V7-01	Tumor
TCGA-BK-A6W4-01	Tumor
TCGA-EO-A1Y7-01	Tumor
TCGA-BK-A13B-01	Tumor
TCGA-QS-A5YQ-01	Tumor
TCGA-EO-A3AU-01	Tumor
TCGA-AJ-A3NE-01	Tumor
TCGA-B5-A3FH-01	Tumor
TCGA-B5-A3FA-01	Tumor
TCGA-AX-A3G8-01	Tumor
TCGA-A5-AB3J-01	Tumor
TCGA-DF-A2L0-01	Tumor
TCGA-4E-A92E-01	Tumor
TCGA-AJ-A3BF-01	Tumor
TCGA-EY-A2OP-01	Tumor
TCGA-AJ-A23N-01	Tumor
TCGA-QS-A744-01	Tumor
TCGA-2E-A9G8-01	Tumor
TCGA-PG-A6IB-01	Tumor
TCGA-AJ-A3BG-01	Tumor
TCGA-EO-A3AV-01	Tumor
TCGA-B5-A3F9-01	Tumor
TCGA-QF-A5YS-01	Tumor
TCGA-EY-A72D-01	Tumor
TCGA-AJ-A5DW-01	Tumor
TCGA-AX-A3G7-01	Tumor
TCGA-AJ-A6NU-01	Tumor
TCGA-EO-A3L0-01	Tumor
TCGA-AX-A3G6-01	Tumor
TCGA-B5-A1MW-01	Tumor
TCGA-FI-A3PX-01	Tumor
TCGA-D1-A3DG-01	Tumor
TCGA-EY-A1GO-01	Tumor
TCGA-BS-A0V4-01	Tumor
TCGA-AJ-A3OL-01	Tumor
TCGA-AJ-A3NG-01	Tumor
TCGA-AJ-A8CT-01	Tumor
TCGA-EY-A5W2-01	Tumor
TCGA-DI-A2QT-01	Tumor
TCGA-KP-A3VZ-01	Tumor
TCGA-EY-A548-01	Tumor
TCGA-B5-A3S1-01	Tumor
TCGA-PG-A917-01	Tumor
TCGA-EO-A3B1-01	Tumor
TCGA-AJ-A3BD-01	Tumor
TCGA-DF-A2KV-01	Tumor
TCGA-EO-A22X-01	Tumor
TCGA-AJ-A3EK-01	Tumor
TCGA-D1-A3DA-01	Tumor
TCGA-KP-A3W3-01	Tumor
TCGA-AJ-A3IA-01	Tumor
TCGA-AJ-A8CW-01	Tumor
TCGA-H5-A2HR-01	Tumor
TCGA-EY-A547-01	Tumor
TCGA-BK-A6W3-01	Tumor
TCGA-BK-A56F-01	Tumor
TCGA-EO-A3AY-01	Tumor
